4.54,3.34,3.19,4.59,0.00,271.88,224.02,0.74,0.21,495905.25
4.61,3.20,3.19,4.63,12.00,226.79,222.10,0.44,0.02,448896.81
4.68,3.11,3.15,4.64,12.00,198.53,210.60,-0.78,-0.06,409133.06
4.74,3.17,3.15,4.64,12.00,216.55,210.60,0.54,0.03,427146.28
4.81,3.34,3.17,4.64,0.00,271.13,218.28,0.73,0.24,489412.62
4.88,3.66,3.21,1.15,0.00,374.82,229.84,0.65,0.63,604657.50
4.95,3.61,3.21,0.26,0.00,358.36,230.26,0.66,0.56,588623.75
5.01,3.40,3.20,0.13,0.00,290.63,228.38,0.72,0.27,519009.75
5.08,3.26,3.27,0.12,12.00,247.14,248.49,-0.12,-0.01,495628.12
5.15,3.20,3.23,3.68,12.00,226.80,234.90,-0.62,-0.03,461700.00
5.22,3.40,3.23,4.43,0.00,291.60,234.90,0.73,0.24,526500.06
5.28,3.53,3.24,4.60,0.00,333.00,238.23,0.68,0.40,571228.06
5.35,3.44,3.25,4.64,0.00,303.00,241.73,0.72,0.25,544727.00
5.42,3.28,3.28,4.64,12.00,251.10,251.10,0.00,0.00,502200.03
5.49,3.15,3.28,1.15,12.00,212.16,251.10,-0.78,-0.16,463259.81
5.55,3.28,3.24,0.25,12.00,252.11,240.68,0.73,0.05,492793.50
5.62,3.52,3.31,0.13,0.00,331.51,260.82,0.72,0.27,592329.37
5.69,3.69,3.30,3.68,0.00,386.01,259.20,0.67,0.49,645212.87
5.76,3.66,3.30,4.43,0.00,376.16,259.20,0.67,0.45,635355.06
5.82,3.40,3.31,4.61,12.00,290.67,263.82,0.82,0.10,554489.62
5.89,3.28,3.31,4.65,12.00,251.12,261.23,-0.66,-0.04,512350.75
5.96,3.45,3.30,4.65,4.36,307.80,259.45,0.76,0.19,567245.43
6.03,3.63,3.33,4.64,0.00,364.63,269.84,0.69,0.35,634476.31
6.09,3.60,3.35,4.64,0.00,356.40,275.02,0.71,0.30,631419.87
6.16,3.50,3.39,4.64,12.00,324.00,288.45,0.80,0.12,612448.62
6.23,3.38,3.38,4.64,12.00,283.50,283.50,0.00,0.00,567000.00
6.30,3.58,3.40,1.17,0.00,350.37,291.60,0.75,0.20,641974.50
6.36,3.70,3.40,3.85,0.00,388.79,291.60,0.70,0.33,680392.12
6.43,3.76,3.42,4.48,0.00,407.56,298.92,0.69,0.36,706481.43
6.50,3.59,3.43,4.62,6.71,353.36,299.70,0.76,0.18,653059.50
6.57,3.36,3.43,4.65,12.00,278.76,299.70,-0.81,-0.07,578457.18
6.63,3.39,3.42,4.64,12.00,288.01,298.24,-0.62,-0.03,586240.50
6.70,3.58,3.45,4.64,12.00,348.30,307.71,0.80,0.13,656005.00
6.77,3.75,3.45,4.65,0.00,405.00,309.09,0.70,0.31,714090.50
6.84,3.88,3.48,4.64,0.00,445.50,315.90,0.68,0.41,761399.87
6.90,3.93,3.51,1.15,0.00,461.70,327.36,0.68,0.41,789057.06
6.97,3.75,3.53,0.26,0.00,405.02,332.54,0.74,0.22,737559.25
7.04,3.47,3.55,0.12,12.00,315.89,340.20,-0.81,-0.07,656092.06
7.11,3.36,3.45,3.68,12.00,277.22,307.80,-0.82,-0.10,585021.12
7.17,3.58,3.50,4.42,12.00,348.30,323.64,0.82,0.08,671935.75
7.24,3.71,3.53,4.61,7.26,390.99,332.10,0.76,0.18,723085.37
7.31,3.85,3.52,4.66,0.00,436.23,330.70,0.70,0.32,766926.62
7.38,3.99,3.53,4.65,0.00,484.08,332.10,0.67,0.46,816183.87
7.44,3.85,3.54,4.64,0.00,437.40,338.19,0.71,0.29,775588.87
7.51,3.50,3.59,4.64,12.00,324.97,353.36,-0.82,-0.08,678325.50
7.58,3.42,3.55,4.65,12.00,299.05,340.20,-0.80,-0.12,639250.75
7.65,3.63,3.58,4.69,12.00,364.50,350.09,0.69,0.04,714589.43
7.71,3.79,3.61,1.17,12.00,417.50,360.35,0.78,0.16,777853.37
7.78,3.95,3.60,0.27,0.00,469.80,356.40,0.70,0.32,826199.87
7.85,4.08,3.65,0.13,0.00,512.83,372.59,0.69,0.38,885417.87
7.92,4.00,3.60,3.67,0.00,486.00,356.40,0.69,0.36,842399.93
7.98,3.63,3.63,4.42,12.00,364.50,364.61,-0.01,-0.00,729110.81
8.05,3.50,3.63,4.61,12.00,324.00,364.50,-0.81,-0.11,688499.87
8.12,3.64,3.60,4.65,12.00,370.28,356.40,0.67,0.04,726680.00
8.19,3.83,3.63,4.65,5.58,431.41,364.81,0.76,0.18,796214.87
8.25,3.93,3.67,4.64,0.00,461.70,380.48,0.74,0.21,842178.25
8.32,4.01,3.68,4.64,0.00,490.49,380.70,0.71,0.29,871189.50
8.39,3.90,3.65,4.64,0.00,453.51,374.12,0.74,0.21,827625.25
8.46,3.60,3.72,4.69,12.00,356.40,394.84,-0.82,-0.10,751241.31
8.52,3.51,3.68,1.17,12.00,327.80,380.70,-0.79,-0.14,708500.62
8.59,3.69,3.68,0.27,12.00,385.47,381.63,0.22,0.01,767092.87
8.66,3.85,3.68,0.11,12.00,437.40,380.70,0.78,0.15,818100.12
8.73,3.97,3.74,0.11,3.15,476.89,400.70,0.75,0.19,877595.00
8.79,4.07,3.72,3.67,0.00,510.30,396.89,0.71,0.29,907192.00
8.86,4.04,3.70,4.43,0.00,499.92,388.80,0.71,0.29,888719.68
8.93,3.74,3.75,4.61,12.00,401.74,405.00,-0.18,-0.01,806737.75
9.00,3.63,3.75,4.66,12.00,364.50,404.98,-0.82,-0.10,769476.18
