5.11,3.42,3.05,4.45,0.00,297.78,178.20,0.65,0.67
5.17,3.44,3.10,1.12,0.00,304.61,194.38,0.66,0.57
5.24,3.15,3.08,3.80,0.00,210.62,186.55,0.80,0.13
5.31,3.07,3.08,4.46,12.00,184.70,189.17,-0.48,-0.02
5.37,3.05,3.10,1.12,12.00,178.38,194.40,-0.82,-0.08
5.44,3.10,3.06,3.81,0.00,195.60,182.55,0.81,0.07
5.51,3.25,3.08,4.44,0.00,243.00,186.30,0.70,0.30
5.57,3.21,3.13,1.11,0.00,229.92,204.45,0.80,0.12
5.64,3.07,3.08,3.81,9.19,184.84,186.30,-0.17,-0.01
5.71,3.00,3.08,4.44,12.00,162.00,186.50,-0.80,-0.13
5.77,3.10,3.10,1.12,8.77,193.12,194.40,-0.15,-0.01
5.84,3.34,3.08,3.82,0.00,271.15,188.66,0.68,0.44
5.91,3.50,3.10,4.47,0.00,324.00,194.40,0.65,0.67
5.98,3.50,3.15,1.10,0.00,324.00,211.13,0.66,0.53
6.04,3.21,3.12,3.81,0.00,230.56,200.48,0.78,0.15
6.11,3.11,3.13,4.47,12.00,198.43,202.50,-0.42,-0.02
6.18,3.02,3.16,1.10,12.00,170.10,214.39,-0.74,-0.21
6.24,3.11,3.13,3.80,12.00,198.98,202.50,-0.37,-0.02
6.31,3.42,3.15,0.94,0.00,299.45,210.60,0.68,0.42
6.38,3.60,3.14,3.78,0.00,356.40,206.07,0.65,0.73
6.44,3.60,3.15,4.46,0.00,356.40,210.60,0.65,0.69
6.51,3.31,3.21,1.10,0.00,261.71,229.23,0.79,0.14
6.58,3.17,3.18,3.81,10.00,218.66,220.91,-0.23,-0.01
6.64,3.10,3.20,4.46,12.00,194.40,226.80,-0.79,-0.14
6.71,3.19,3.18,1.10,0.99,222.14,218.70,0.34,0.02
6.78,3.37,3.15,3.80,0.00,280.94,210.60,0.70,0.33
6.85,3.48,3.24,0.85,0.00,315.90,238.28,0.70,0.33
6.91,3.35,3.25,3.82,0.00,275.40,242.96,0.79,0.13
6.98,3.14,3.20,4.45,12.00,207.35,226.80,-0.82,-0.09
7.05,3.15,3.23,1.12,12.00,210.60,237.95,-0.81,-0.11
7.11,3.38,3.18,3.81,0.00,286.51,219.18,0.70,0.31
7.18,3.52,3.23,4.47,0.00,332.02,235.08,0.68,0.41
7.25,3.49,3.28,1.10,0.00,320.45,251.10,0.71,0.28
7.31,3.27,3.27,3.81,4.39,250.97,249.57,0.13,0.01
7.38,3.16,3.23,4.46,12.00,214.52,234.90,-0.82,-0.09
7.45,3.15,3.23,1.10,12.00,212.22,237.85,-0.81,-0.11
7.51,3.28,3.22,3.81,0.00,251.10,232.55,0.82,0.08
7.58,3.55,3.24,4.46,0.00,341.40,241.21,0.68,0.42
7.65,3.55,3.25,1.10,0.00,340.20,243.00,0.68,0.40
7.72,3.32,3.28,3.81,0.00,264.38,251.10,0.76,0.05
7.78,3.23,3.22,4.47,5.85,235.25,234.89,0.03,0.00
7.85,3.18,3.25,1.10,12.00,218.70,243.17,-0.82,-0.10
7.92,3.24,3.25,3.81,12.00,238.78,243.00,-0.37,-0.02
7.98,3.38,3.24,0.85,0.00,283.50,239.55,0.76,0.18
8.05,3.63,3.28,3.83,0.00,364.50,251.10,0.67,0.45
8.12,3.59,3.30,4.46,0.00,352.84,259.20,0.69,0.36
8.18,3.34,3.30,1.12,0.00,273.08,260.58,0.73,0.05
8.25,3.23,3.29,3.82,12.00,234.90,255.52,-0.82,-0.08
8.32,3.13,3.28,4.45,12.00,202.50,251.99,-0.75,-0.20
8.38,3.27,3.27,1.09,7.89,249.66,250.70,-0.09,-0.00
8.45,3.40,3.28,3.81,0.00,290.62,253.29,0.78,0.15
8.52,3.55,3.32,4.46,0.00,340.20,266.48,0.71,0.28
8.59,3.50,3.34,1.10,0.00,325.58,271.30,0.75,0.20
8.65,3.25,3.30,3.81,12.00,242.96,259.20,-0.79,-0.06
8.72,3.20,3.28,4.46,12.00,226.80,254.05,-0.81,-0.11
8.79,3.45,3.35,1.10,0.00,306.95,275.23,0.81,0.12
8.85,3.61,3.30,3.81,0.00,360.22,259.20,0.68,0.39
8.92,3.58,3.32,0.86,0.00,348.30,267.30,0.70,0.30
8.99,3.32,3.35,3.76,12.00,267.30,275.40,-0.56,-0.03
9.05,3.23,3.30,4.43,12.00,234.90,259.20,-0.82,-0.09
9.12,3.31,3.30,1.11,4.09,260.89,259.22,0.14,0.01
9.19,3.43,3.32,3.81,0.00,299.70,266.32,0.80,0.13
9.26,3.46,3.35,4.47,0.00,310.56,275.40,0.80,0.13
9.32,3.40,3.38,1.12,0.00,292.31,283.50,0.58,0.03
9.39,3.25,3.32,3.82,12.00,243.00,265.61,-0.82,-0.09
9.46,3.15,3.32,4.44,12.00,210.60,266.48,-0.74,-0.21
9.52,3.26,3.35,1.10,12.00,246.53,275.40,-0.81,-0.10
9.59,3.56,3.30,3.81,0.00,344.16,259.20,0.70,0.33
9.66,3.70,3.32,4.46,0.00,388.80,267.24,0.67,0.45
9.72,3.77,3.38,1.10,0.00,413.10,283.50,0.67,0.46
9.79,3.63,3.36,3.81,0.00,364.50,279.95,0.71,0.30
9.86,3.45,3.40,0.94,0.00,309.34,290.78,0.80,0.06
9.92,3.28,3.40,3.84,12.00,251.10,291.60,-0.79,-0.14
9.99,3.18,3.35,4.48,12.00,220.81,275.40,-0.75,-0.20
10.06,3.51,3.38,1.10,0.00,328.74,283.50,0.77,0.16
10.13,3.62,3.35,3.81,0.00,363.14,275.34,0.70,0.32
10.19,3.50,3.42,0.94,0.00,324.00,299.58,0.82,0.08
10.26,3.32,3.40,3.85,12.00,267.30,291.60,-0.82,-0.08
10.33,3.27,3.35,4.47,12.00,251.04,275.40,-0.82,-0.09
10.39,3.30,3.40,1.10,12.00,260.17,292.13,-0.81,-0.11
10.46,3.45,3.38,3.81,0.00,307.80,283.50,0.82,0.09
10.53,3.76,3.38,4.47,0.00,409.12,283.94,0.68,0.44
10.59,3.70,3.38,4.61,0.00,387.99,285.19,0.69,0.36
10.66,3.43,3.42,4.65,5.03,300.80,299.66,0.09,0.00
10.73,3.35,3.40,1.16,12.00,275.04,291.60,-0.78,-0.06
10.80,3.33,3.35,3.82,12.00,267.74,275.40,-0.54,-0.03
10.86,3.45,3.37,4.46,0.00,307.80,282.61,0.82,0.09
10.93,3.59,3.44,4.66,0.00,354.09,305.60,0.78,0.16
11.00,3.43,3.40,4.65,0.00,299.70,291.70,0.53,0.03
11.06,3.38,3.45,1.18,12.00,283.50,307.78,-0.82,-0.08
11.13,3.20,3.41,3.83,12.00,226.80,294.80,-0.73,-0.23
11.20,3.32,3.35,4.47,12.00,264.64,275.80,-0.68,-0.04
11.26,3.54,3.43,4.66,0.00,337.93,299.70,0.80,0.13
11.33,3.73,3.38,4.66,0.00,396.90,284.61,0.68,0.39
11.40,3.70,3.45,1.15,0.00,388.80,307.80,0.72,0.26
11.47,3.40,3.43,3.82,12.00,291.60,299.70,-0.53,-0.03
11.53,3.37,3.39,4.47,12.00,283.38,289.07,-0.41,-0.02
11.60,3.55,3.45,4.66,0.00,340.20,307.79,0.81,0.11
11.67,3.68,3.43,4.66,0.00,380.70,299.70,0.72,0.27
11.73,3.53,3.46,1.15,0.00,334.17,311.72,0.81,0.07
11.80,3.38,3.46,3.82,12.00,283.50,311.31,-0.82,-0.09
11.87,3.29,3.43,4.47,12.00,256.53,299.70,-0.79,-0.14
11.93,3.33,3.43,4.61,12.00,268.43,299.70,-0.81,-0.10
12.00,3.53,3.44,4.66,0.00,332.10,305.66,0.82,0.09
12.07,3.80,3.47,1.16,0.00,421.20,312.80,0.69,0.35
12.13,3.72,3.44,3.82,0.00,396.88,304.44,0.70,0.30
12.20,3.45,3.45,0.86,6.33,307.86,307.80,0.00,0.00
12.27,3.35,3.45,3.76,12.00,275.40,307.80,-0.81,-0.11
12.34,3.42,3.43,4.45,9.59,297.16,299.85,-0.20,-0.01
12.40,3.56,3.45,1.09,0.00,344.82,307.80,0.80,0.12
12.47,3.68,3.46,3.81,0.00,380.70,310.98,0.74,0.22
12.54,3.63,3.45,4.46,0.00,364.60,308.30,0.76,0.18
12.60,3.50,3.45,4.61,0.00,323.91,307.80,0.76,0.05
12.67,3.33,3.48,4.64,12.00,269.85,315.90,-0.78,-0.15
12.74,3.25,3.46,1.15,12.00,243.00,312.31,-0.74,-0.22
12.80,3.28,3.42,3.82,12.00,251.10,299.49,-0.77,-0.16
12.87,3.48,3.45,0.94,0.00,317.92,307.80,0.60,0.03
12.94,3.67,3.43,3.78,0.00,380.69,299.70,0.72,0.27
13.01,3.70,3.45,4.45,0.00,388.80,309.00,0.72,0.26
13.07,3.54,3.50,1.09,0.00,337.64,324.00,0.69,0.04
13.14,3.35,3.43,3.81,12.00,275.40,302.00,-0.82,-0.09
13.21,3.29,3.45,4.46,12.00,254.59,307.78,-0.77,-0.17
13.27,3.52,3.42,4.61,0.00,332.08,299.10,0.81,0.11
13.34,3.63,3.43,4.66,0.00,364.79,301.36,0.74,0.21
13.41,3.55,3.51,1.15,0.00,340.20,327.44,0.67,0.04
13.47,3.40,3.48,3.82,12.00,291.75,317.10,-0.82,-0.08
13.54,3.31,3.43,4.47,12.00,262.89,299.70,-0.80,-0.12
13.61,3.35,3.43,4.60,12.00,275.40,299.70,-0.82,-0.08
13.68,3.50,3.45,4.65,0.00,324.00,306.62,0.78,0.06
13.74,3.78,3.48,1.17,0.00,413.55,315.90,0.70,0.31
13.81,3.74,3.48,3.83,0.00,402.76,315.90,0.71,0.27
13.88,3.50,3.46,4.47,0.00,324.00,310.17,0.71,0.04
13.94,3.38,3.51,1.10,12.00,283.50,326.90,-0.80,-0.13
14.01,3.30,3.48,3.82,12.00,259.20,315.90,-0.76,-0.18
14.08,3.56,3.48,0.92,0.00,343.84,316.38,0.82,0.09
14.14,3.65,3.48,3.77,0.00,372.60,318.61,0.77,0.17
14.21,3.48,3.49,4.46,10.35,318.42,322.03,-0.25,-0.01
14.28,3.38,3.48,4.60,12.00,286.25,315.90,-0.82,-0.09
14.35,3.38,3.44,4.66,12.00,283.50,304.71,-0.81,-0.07
14.41,3.56,3.50,1.16,0.00,343.44,323.98,0.79,0.06
14.48,3.75,3.45,3.83,0.00,405.00,307.79,0.70,0.32
14.55,3.72,3.48,4.47,0.00,396.84,316.07,0.72,0.26
14.61,3.58,3.50,4.66,0.00,349.40,324.00,0.82,0.08
14.68,3.35,3.50,4.66,12.00,275.45,322.61,-0.78,-0.15
14.75,3.31,3.50,1.16,12.00,263.25,324.00,-0.76,-0.19
14.81,3.54,3.45,3.82,0.00,338.39,307.80,0.82,0.10
14.88,3.68,3.48,4.46,0.00,382.09,318.44,0.75,0.20
14.95,3.48,3.50,4.60,12.00,316.92,324.00,-0.45,-0.02
15.02,3.42,3.46,4.65,12.00,298.25,309.86,-0.65,-0.04
15.08,3.60,3.50,1.16,0.00,356.40,324.00,0.82,0.10
15.15,3.75,3.49,3.82,0.00,405.00,321.42,0.72,0.26
15.22,3.67,3.54,4.47,0.00,380.12,337.57,0.80,0.13
15.28,3.47,3.55,1.10,12.00,315.86,340.20,-0.81,-0.07
15.35,3.35,3.49,3.81,12.00,275.40,320.84,-0.79,-0.14
15.42,3.63,3.53,0.92,0.00,364.50,332.10,0.82,0.10
15.48,3.70,3.53,3.78,0.00,387.94,332.10,0.77,0.17
15.55,3.54,3.52,4.45,2.07,336.15,332.04,0.27,0.01
15.62,3.45,3.56,1.09,12.00,307.80,344.82,-0.81,-0.11
15.68,3.32,3.51,3.81,12.00,267.30,326.11,-0.76,-0.18
15.75,3.50,3.50,0.92,6.40,324.00,324.00,0.00,0.00
15.82,3.60,3.55,3.84,0.00,356.40,339.27,0.75,0.05
15.89,3.75,3.50,4.46,0.00,406.51,324.00,0.72,0.25
15.95,3.71,3.54,1.12,0.00,392.70,335.96,0.77,0.17
16.02,3.43,3.52,3.81,12.00,299.77,331.81,-0.82,-0.10
16.09,3.35,3.52,4.46,12.00,275.40,331.89,-0.77,-0.17
16.15,3.56,3.50,4.61,0.00,343.44,324.00,0.79,0.06
16.22,3.70,3.50,4.64,0.00,388.80,324.00,0.75,0.20
16.29,3.65,3.56,1.17,0.00,372.60,344.55,0.82,0.08
16.35,3.43,3.55,3.82,12.00,299.70,340.20,-0.81,-0.12
16.42,3.35,3.50,4.47,12.00,275.12,324.00,-0.78,-0.15
16.49,3.35,3.50,4.66,12.00,275.30,324.00,-0.78,-0.15
16.56,3.51,3.50,4.68,1.36,328.58,323.86,0.31,0.01
16.62,3.82,3.55,1.16,0.00,426.81,340.20,0.72,0.25
16.69,3.77,3.50,3.82,0.00,413.10,325.28,0.72,0.27
16.76,3.62,3.52,4.47,0.00,364.49,331.74,0.82,0.10
16.82,3.38,3.55,4.60,12.00,283.50,340.18,-0.77,-0.17
16.89,3.32,3.49,4.65,12.00,264.27,319.24,-0.77,-0.17
16.96,3.60,3.50,4.69,0.00,356.26,324.50,0.82,0.10
17.02,3.66,3.52,4.66,0.00,376.97,329.99,0.79,0.14
17.09,3.53,3.58,1.17,12.00,332.10,348.30,-0.72,-0.05
17.16,3.42,3.50,3.82,12.00,299.26,324.00,-0.82,-0.08
17.23,3.60,3.49,4.47,0.00,356.40,319.22,0.81,0.12
17.29,3.77,3.58,1.11,0.00,413.10,348.30,0.76,0.19
17.36,3.65,3.55,3.81,0.00,371.68,340.20,0.82,0.09
17.43,3.51,3.55,0.86,12.00,326.78,340.20,-0.67,-0.04
17.49,3.38,3.52,3.76,12.00,283.50,331.54,-0.79,-0.14
17.56,3.39,3.53,4.45,12.00,287.98,332.10,-0.79,-0.13
17.63,3.56,3.50,4.60,0.00,342.16,324.00,0.77,0.06
17.69,3.82,3.54,4.64,0.00,429.30,335.47,0.71,0.28
17.76,3.77,3.58,1.17,0.00,413.10,348.30,0.76,0.19
17.83,3.48,3.55,3.82,12.00,317.41,340.20,-0.80,-0.07
17.90,3.38,3.51,4.46,12.00,283.50,328.29,-0.79,-0.14
17.96,3.53,3.55,4.61,12.00,332.10,339.80,-0.46,-0.02
18.03,3.73,3.53,4.66,0.00,396.90,334.32,0.76,0.19
18.10,3.86,3.59,1.16,0.00,439.44,352.98,0.73,0.24
18.16,3.90,3.54,3.82,0.00,453.60,335.90,0.69,0.35
18.23,3.74,3.59,0.86,0.00,401.12,352.45,0.79,0.14
18.30,3.46,3.58,3.76,12.00,309.78,348.30,-0.81,-0.11
18.36,3.38,3.56,4.45,12.00,283.50,342.78,-0.77,-0.17
18.43,3.52,3.55,4.61,12.00,328.97,341.05,-0.63,-0.04
18.50,3.73,3.58,4.65,0.00,397.64,351.47,0.80,0.13
18.57,3.85,3.60,1.15,0.00,437.40,356.40,0.73,0.23
18.63,3.65,3.58,3.82,0.00,372.60,349.43,0.80,0.07
18.70,3.50,3.60,4.47,12.00,324.00,355.85,-0.82,-0.09
18.77,3.32,3.58,4.60,12.00,267.30,348.30,-0.73,-0.23
18.83,3.42,3.55,4.66,12.00,298.58,340.20,-0.80,-0.12
18.90,3.65,3.58,4.69,0.00,372.60,348.30,0.81,0.07
18.97,3.82,3.60,4.66,0.00,429.30,355.05,0.74,0.21
19.03,3.80,3.63,1.09,0.00,421.19,364.50,0.78,0.16
19.10,3.50,3.58,3.80,12.00,324.00,350.30,-0.81,-0.08
19.17,3.43,3.57,4.47,12.00,299.70,347.96,-0.79,-0.14
19.24,3.64,3.60,4.66,0.00,368.07,356.40,0.60,0.03
19.30,3.77,3.58,4.65,0.00,413.08,348.30,0.76,0.19
19.37,3.63,3.60,1.09,0.00,364.50,356.30,0.47,0.02
19.44,3.48,3.58,3.80,12.00,315.90,349.72,-0.82,-0.10
19.50,3.36,3.58,4.46,12.00,279.26,348.30,-0.75,-0.20
19.57,3.41,3.58,1.10,12.00,294.17,350.00,-0.77,-0.16
19.64,3.57,3.55,3.83,0.00,348.28,338.73,0.54,0.03
19.70,3.85,3.61,0.95,0.00,437.40,358.28,0.74,0.22
